country,director,genre,rating,title,year
"Франция, Бельгия, Швейцария",Тьерри Бинисти,криминальный фильм,5.6,Двойник Агаты,3 февраля 2007
Индия,Махеш Бхатт,комедия,5.6,Двойник,1998
США,Брайан Де Пальма,триллер,6.8,Двойник тела,1984
Великобритания,Ричард Айоади,"драма, трагикомедия, триллер",6.4,Двойник,2013
США,Чарльз Видор,"кинокомедия, музыкальный фильм",6.7,Девушка с обложки,20 марта 1944
"Бельгия, Нидерланды",Ли Тамахори,"биография, драма, боевик",7.0,Двойник дьявола,2011
Канада,Кристиан Дюгей,шпионский триллер,6.8,Двойник,1997
США,Джон Уайтселл,"комедия, драма",5.1,Девушка из календаря,1993
СССР,Григорий Крикун,драма,4.9,Девушка с маяка,1956
СССР,Николай Лебедев,драма,6.2,"Девчонка, с которой я дружил",1961
СССР,Марк Толмачёв,Лирическая киноновелла,5.6,Девчонка с буксира,1965
"США, Германия",Рон Оливер,"боевик, приключенческий фильм",5.2,Дельфийский эффект,2008
Греция,Михалис Какояннис,драма,7.7,Девушка в чёрном,1956
"США, Чехия",Залман Кинг,"эротика, драма",4.7,Дельта Венеры,1995
Великобритания,Сидни Люмет,детектив,6.7,Дело самоубийцы,1966
Франция,Александр Аркади,боевик,5.8,День искупления,1982
США,Дик Лоури,мини-сериал,5.2,День катастрофы,2004
"США, Германия",Дик Лоури,"Боевик, триллер, драма",4.5,День катастрофы 2: Конец света,2005
США,Чарльз Бурмейстер,"детективный фильм, драма",5.2,День Колумба,2008
США,Мейр Зарки,"ужасы, триллер",5.6,День женщины,1978
Франция,Бернар-Анри Леви,"драма, артхаус",2.0,День и ночь,1997
Россия,"Дарья Виолина, Сергей Павловский",,,Дольше жизни,2013
СССР,Юрий Григорьев,"Драма, Киноповесть",6.1,День и вся жизнь,1969
"Хорватия, 4, Сербия, 4",Винко Брешан,"комедийный фильм, 6, драматический фильм, 6, 7",6.8,Дети священника,3 января 2013 1 7 августа 2014 2 17 июля 2014 3 2015 4 24 апреля 2014 5
США,Фред Уолтон,"фильм ужасов, триллер",6.1,Первое апреля — день дураков,1986
Чехословакия,Мартин Тяпак,"военный фильм, драма",5.6,"День, который не умрёт",1974
США,Уильям Гёрдлер,природный фильм ужасов,5.3,День животных,1977
СССР,Семён Долидзе,киноповесть,7.4,"День последний, день первый",1959
Япония,Хидэо Сэкигава,драма,,Дети смешанной крови,1953
Италия,Витторио Де Сика,драма,7.7,Дети смотрят на нас,1944
США,Айван Райтман,комедия,6.2,Детсадовский полицейский,1990
СССР,Александр Цуцунава,драма,7.0,Джанки,1928
США,Чад Стахелски,"боевик, триллер, приключения",7.4,Джон Уик 3,2019
США,Дженнифер Уэстфелд,комедия,6.1,Дети сексу не помеха,2012
США,"Чад Стахелски, Дэвид Литч",остросюжетный боевик,7.4,Джон Уик,2014
США,Чарли Эхерн,"драма, музыка",7.0,Дикий стиль,1983
США,Джон Фэрроу,биографический,6.3,Джон Пол Джонс,1959
США,Уильям Дир,детский фильм,6.4,Дикая Америка,1997
"Франция, Германия, Китай","Флориан Галленбергер, 3, 4, […]",биографическая историческая драма,7.2,Джон Рабе,7 февраля 2009 1 2 апреля 2009 2
США,Джон Милиус,гангстерский фильм,6.9,Диллинджер,1973
США,Руперт Уэйнрайт,гангстерский фильм,5.8,Диллинджер,1991
Украина,Валерий Рожко,"драма, боевик",6.1,Дикий табун,2003
США,Джон Парди,боевик,5.0,Диллинджер и Капоне,1995
"США, Франция",Абель Феррара,драма,5.6,Добро пожаловать в Нью-Йорк,2014
США,Брайан А. Миллер,"фильм-триллер, фэнтезийный фильм, научно-фантастический фильм, антиутопический фильм, боевик",4.2,Добро пожаловать в рай,2015
СССР,Юрий Егоров,"кинороман, Драма, Мелодрама, Военный фильм",7.2,Добровольцы,1958
США,Катрина Холден Бронсон,"драма, комедия",5.1,Долтри Кэлхун,2005
Швеция,Рубен Эстлунд,драма,6.9,Добровольно-принудительно,2008
Франция,Ян Артюс-Бертран,документальный,8.5,Дом,2009
Украина,Тарас Томенко,документальное кино,7.6,Дом «Слово»,2017
США,Дик Пауэлл,"нуар, Триллер",6.8,Доля секунды,1953
"Великобритания, Франция, Бельгия, Италия",Кен Лоуч,"комедия, драма",7.0,Доля ангелов,2012
СССР,Степан Кеворков,,4.5,Дорога,1961
США,Тейлор Хэкфорд,"психологический триллер, драма",7.4,Долорес Клэйборн,1995
Великобритания,Оливер Паркер,"триллер, драма, мистика",6.2,Дориан Грей,2009
Турция,"Йылмаз Гюней, Шериф Гёрен",Драма,7.9,Дорога,3 декабря 1982 1 1982
Великобритания,Аллан А. Голдштайн,"фильм ужасов, триллер",3.8,Дориан Грей. Дьявольский портрет,17 февраля 2004 1 2002
Индия,Д-р Биджу,драма,6.7,Дорога домой,2010
Испания,Хавьер Фессер,Драма,7.4,Дорога,2008
США,Джоан Фримэн,драма,5.8,Древнейшая профессия,1985
Финляндия,Олли Саарела,"военный фильм, драма",6.7,Дорога на Рукаярви ,1999
СССР,Учкун Назаров,киноповесть,,Жизнь прошла ночью,1964
Россия,Максим Коростышевский,"комедия, драма",6.5,Дура,2005
Польша,Ежи Гофман,исторический фильм,5.6,Древнее предание:,2003
США,Мелани Майрон,подростковая комедия,4.1,Дрянные девчонки 2,"
23 января 2011"
Канада,Пол Зиллер,"фильм-катастрофа, научная фантастика, триллер",4.1,Древнее пророчество,12 июня 2010
Узбекистан,Баходыр Одылов,драма,,Забарджад,2007
СССР,Виктор Пусурманов,лирическая кинокомедия,,Дыня,1982
"США, Канада",Крис Эйр,семейная драма,7.2,Дымовые сигналы,26 июня 1998 3 4 3 декабря 1998 5
СССР,Михаил Григорьев,"комедия нравов, музыкальный фильм",6.8,Дуэнья,"
27 августа 1978"
"Франция, Италия",Жак Беккер,"драма, триллер",8.5,Дыра,1960
США,Акива Шаффер,"фантастика, комедия",5.7,Дружинники,2012
"США, Германия, Япония",Уэйн Ван,драма,7.4,Дым,9 июня 1995 19 октября 1995 1 1995
Дания,Петер Эльфельт,Документальное кино,5.0,Езда на гренландских собаках,1897
"США, Великобритания",Андрей Кончаловский,мелодрама,6.7,Дуэт для солиста,1986
США,Донна Дейтч,"драма, фэнтези",6.3,Дьявольская арифметика,1999
"США, Великобритания",Майкл Уинтерботтом,"биографическая, драма",6.6,Её сердце,2007
США,Джоэл и Итан Коэн,"вестерн, драма, приключения",7.6,Железная хватка,2010
США,Джефф Бэена,зомби-комедия,5.7,Если твоя девушка — зомби,2014
США,Роберт Лукетич,"комедия, мелодрама",5.6,Если свекровь — монстр,2005
Россия,Александр Баширов,драма,5.6,Железная пята олигархии,1999
"США, Великобритания",Джил Джангер,"драма, фэнтези, мелодрама, кинокомедия",7.0,Если только,2004
РСФСР,"Владимир Гардин, Андрей Горчилин, Евгений Иванов-Барков, Леонид Леонидов, Ольга Преображенская",Фантастика,,Железная пята,1919
"Гонконг, Китайская Республика",Чэнь Гуаньтай,боевик,6.4,Железная Обезьяна,1977
Гонконг,Юнь Вопхин,"боевик, комедия, приключенческий фильм, кунг-фу",7.5,Железная обезьяна,"
1993 ( ) 2001 ( )"
Швеция,Ингмар Бергман,"драма, комедия",7.0,Женщины ждут,1952
ФРГ,Райнер Вернер Фасбиндер,сатирическая комедия,6.9,Женщины в Нью-Йорке,21 июня 1977
Россия,Дмитрий Астрахан,"Комедия, мелодрама",6.4,Жёлтый карлик,2001
"США, Филиппины",Жерар Де Лион,драма,5.0,Женщины в клетках,1971
Россия,Александр Рогожкин,драма,6.9,Жизнь с идиотом,1993
Италия,Микеле Массимо Тарантини,"триллер, Women in Prison",5.1,Женщины в ярости,1985
"Канада, Чехия",Ллойд Симэндл,"драма, триллер, криминальный фильм",3.5,«Женщины за решёткой 2»,1993
