country,director,genre,title,year
СССР,"Нинель Ненова, Гено Цулая",комедия,Бабочка,1977
Россия,Владимир Мотыль,драма,Багровый цвет снегопада,2009
Франция,Александр Астрюк,драма,Багряный занавес,1952
ПНР,Чеслав Петельский,"драма, экранизация",База мёртвых людей,1958
США,Стэйси Тайтл,фильм ужасов о сверхъестественном,БайБайМэн,2017
США,Том Каллоуэй,боевик,Байкер-убийца,1999
Индия,Санджай Гадхви,"боевик, комедия",Байкеры,2004
США,Дэн Хоскинс,чёрная комедия,Байкерши в городе зомби,1989
Индия,Санджай Гадхви,"боевик, триллер, мелодрама",Байкеры 2: Настоящие чувства,2006
СССР,Виктор Турин,исторический фильм,Бакуки,1938
Япония,Синъя Цукамото,"драма, триллер",Балет пуль,1998
СССР,Калыкбек Салыков,"драматический фильм, 1",Балкон,1988
США,Ричард Доннер,"приключенческий фильм, комедия",Балбесы,1985
Югославия,Душан Ковачевич,"драма, кинокомедия",Балканский шпион,1984
Великобритания,Джеймс Гриффитс,комедийный фильм,Баллада об острове Уоллис,25 января 2025
США,Ребекка Миллер,Драма,Баллада о Джеке и Роуз,2005
Франция,Жюльен Дювивье,драма,Бальная записная книжка,1937
ФРГ,"Вернер Херцог, Денис Райхле",документальный фильм,Баллада о маленьком солдате,1984
"Франция, Италия",Жак Дере,"детективный фильм, драма",Банда,1977
СССР,Владимир Венгеров,"военный фильм, драма",Балтийское небо,1960
Беларусь,Маргарита Касымова,Романтическая мелодрама,Бальное платье,2003
"Австралия, США, Великобритания, Франция",Грегор Джордан,"боевик, приключенческий фильм, фильм-биография, криминальный фильм",Банда Келли,2003
Таиланд,Пхот Анон,драма,Бангкокская история любви,2007
Великобритания,Чарльз Крайтон,"комедия, криминальный",Банда с Лавендер Хилл,1951
Италия,Камилло Мастрочинкве,Комедия,Банда честных,1956
Германия,Катя фон Гарнье,драма,Бандитки,1997
Италия,Альберто Латтуада,"драма, криминал",Бандит,1946
ЮАР,Ральф Зиман,"драма, боевик",Бандитский Йоханнесбург,2008
Великобритания,Терри Гиллиам,киносказка,Бандиты во времени,1981
Италия,Карло Вандзина,комедия,Банзай,1997
США,Уильям Уэбб,триллер,Банкир,1989
Великобритания,Рональд Ним,"комедия, мелодрама",Банковский билет в миллион фунтов стерлингов,1954
"Ирландия, США, Великобритания",Мартин Макдонах,"чёрная, трагикомедия",Банши Инишерина,2022
Саудовская Аравия,Махмуд Саббах,комедийная  драма,Барака встречает Барака,2016
Япония,Тадаси Имаи,фильм-драма,Барабан в ночи,1958
"США, Мексика",Джош Гринбаум,комедия,Барб и Звезда едут в Виста дель Мар,2021
Франция,Жан Стелли,комедия,Барбизонское искушение,1946
Великобритания,Терри Гиллиам,комедия,Бармаглот,1977
Франция,Матьё Амальрик,драма,Барбара,2017
"Франция, Италия","Жорж Лотнер, 2, 3, […]","кинокомедия, пародия, шпионский детектив",Барбузы – секретные агенты,10 декабря 1964 1
Польша,Ежи Сколимовский,психологическая драма,Барьер,1966
Франция,"Андре Тешине, 2","драма, триллер",Барокко,19 ноября 1976 1 8 декабря 1976 1 8 апреля 1978 1 17 июля 1978 1 1979 1 29 февраля 1980 1 6 июля 1980 1 4 января 1985 1 12 декабря 1986 1 3 ноября 1990 1
США,Джулиан Шнабель,"драма, биография",Баския,1996
Чехословакия,Карел Земан,"фантастика, приключения, кинокомедия",Барон Мюнхгаузен,1961
СССР,Никита Курихин,"Фантастика, мелодрама",Барьер неизвестности,1961
Великобритания,Дэвид Грин,"драма, комедия",Бастер,1988
США,Эрик Стивен Стал,триллер,Бастион,1998
Испания,Рафаэль Монлеон,драма,Испанская горячка,1988
"Россия, Казахстан",Дмитрий Месхиев,"драма, военный фильм",Батальонъ,2015
СССР,"Владимир Чеботарёв, Александр Боголюбов",военный фильм,«Батальоны просят огня»,1985
"Великобритания, 5, США, 5",Роджер Дональдсон,"приключенческий фильм, исторический фильм",Баунти,4 мая 1984 4
Китай,Чжан Люй,драматический фильм,Башня без тени,2023
"США, Канада",Мигель Артета,"комедия, драма",Беатрис на ужине,2017
"СССР, Грузинская ССР",Лео Эсакия,"Приключения, Исторический фильм",Баши-Ачук,1956
США,Джерри Джеймсон,триллер,Башня смерти,18 октября 1975
Франция,Филипп Жулиа,историческая драма,Бег,1971
США,Сидни Люмет,драма,Бег на месте,1988
США,Джозеф Рубен,фантастика,Бегство от сна,1984
США,Уве Болл,триллер,Беги,
СССР,"Евгений Брюнчугин, Игорь Ветров",киноповесть,Беглец из «Янтарного»,1968
СССР,"Александр Алов, Владимир Наумов",кинороман,Бег,1970
США,Дон Тейлор,фантастика,Бегство с планеты обезьян,1971
США,Бэрри Самсон,триллер,Бегущий по льду,1993
США,Уэс Болл,"научная фантастика, постапокалиптика, антиутопия, приключения",Бегущий в лабиринте:,2015
США,Эдгар Райт,"научно-фантастический фильм, экранизация романа, боевик",Бегущий человек,21 ноября 2025 1
США,Марк Робсон,Фильм ужасов,Бедлам,1946
США,Морис Турнёр,"комедия, драма",Бедная маленькая богатая девочка,1917
Россия,Тигран Кеосаян,"лирическая комедия, детектив, мелодрама",Бедная Саша,1997
Россия,Игорь Волошин,драма,Бедуин,2011
Франция,Эмиль Рейно,мультфильм,Бедный Пьеро,1892
США,Джозеф Зито,Боевик,Без вести пропавшие,1984
Россия,"Резо Гигинеишвили, Карен Оганесян, Роман Прыгунов","комедия, мелодрама",Без границ,2015
США,Пол Мазурски,комедия,Без гроша в Беверли-Хиллз,31 января 1986 1 23 октября 1986 2 1986
США,Роберт Бентон,комедийная драма,Без дураков,1994
США,Мартин Кэмпбелл,триллер,Без защиты,1990
США,Стефано Соллима,"боевик, триллер",Без жалости,2021
США,Джоэл  Шумахер,"комедийная драма, криминал",Без изъяна,1999 6 июля 2000 1
"Великобритания, Люксембург",Майкл Рэдфорд,"криминал, триллер",Без изъяна,2007
Франция,Аньес Варда,Драма,"Без крыши, вне закона",1985
Венгрия,Миклош Янчо,драма,Без надежды,1965
США,"Кэтрин Бигелоу, 1","драматический фильм, 1",Без любви,1982
Россия,Кирилл Плетнёв,романтическая драма,Без меня,2018
СССР,Дмитрий Светозаров,драма,Без мундира,1988
Австралия,Джон Дайган,"драма, мелодрама, триллер",Безбрежное Саргассово море,1993
США,Джин Ступницки,комедия,Без обид,2023
США,Олей Сэссон,триллер,Безжалостный 4,1994
США,"Джеймс Кэмерон, 1, 2, […]","фантастика, приключения, триллер, драма",Бездна,1989
Великобритания,Артур Крэбтри,"научно-фантастический фильм, фильм ужасов",Безликий демон,1958
США,Рон Андервуд,комедия,Безмолвие,1994 23 февраля 1995 1
Япония,Акира Куросава,"драма, фильм-нуар",Бездомный пёс,1949
США,Джастин Курзель,"криминальный боевик, триллер",Орден,2024
США,Тони Алупис,драма,Безопасное освещение,2015
СССР,Олег «Флянц» Флянгольц,Лирическая комедия,Безразличие,"
1989 (съёмки)  2011 (премьера)"
Федеративная Республика Германия,"Пабст, Георг Вильгельм, 1","драматический фильм, немое кино",Безрадостный переулок,1925
США,Колин Треворроу,"комедия, фантастика",Безопасность не гарантируется,2012
Италия,Адриано Челентано,"комедия, мюзикл",Безумец Джеппо,1978
СССР,Леонид Нечаев,мелодрама,Безумная Лори,1991
США,Тибор Такач,фильм ужасов,Безумная,1989
США,Шон Леви,"комедия, мелодрама, триллер",Безумное свидание,2010
США,Коста-Гаврас,"драма, триллер, криминальный фильм",Безумный город,1997
Австралия,Джордж Миллер,"дистопический, боевик, 1",Безумный Макс,1979
США,Сэм Ньюфилд,фильм ужасов,Безумный монстр,1942
"Австралия, США",Джордж Миллер,"постапокалиптический, боевик, дизельпанк",Безумный Макс: Дорога ярости,2015
США,Алан Смити,"комедия, фильм ужасов",Безумство духов,1987
США,Мукунда Майкл Дьюил,психологический триллер,Безупречная комната,2022
"США, Великобритания",Грант Хеслов,"комедия, военный фильм",Безумный спецназ,2009
СССР,Михаил Козаков,"трагикомедия, мелодрама",Безымянная звезда,17 февраля 1979
США,Рон Шелтон,"комедия, драма, спорт",Бей в кость,1999
Польша,Михал Вашиньский,"драма, детектив, приключенческий фильм",Безымянные герои,1932
США,Алехандро Гонсалес Иньярриту,драматический фильм,Безымянный фильм Алехандро Гонсалеса Иньярриту,2026
США,Джон Д. Хинкок,драма,Бей в барабан медленно,1973
США,Дэвид Цукер,комедия,БЕЙСкетбол,1998
Дания,Эрик Баллинг,"комедия, детектив, приключения, кинопародия","Бей первым, Фредди!",1965
СССР,Алексей Салтыков,"детский фильм, исторический фильм, драма","Бей, барабан!",1962
США,"Мэтт Энджел ,  Сюзанн Кут","боевик, триллер",Бекки в ярости,2023
США,"Джонатан Милотт, Кэри Мернион","боевик, триллер",Бекки,2020
"Франция, Испания, Италия","Хесус Франко, 2, 3, […]",фильм ужасов,Белая богиня каннибалов,1980 28 ноября 1980 1
США,Рауль Уолш,"гангстерская, драма",Белая горячка,1949
СССР,Гарник Аразян,мелодрама,Белая дорога,1974
"США, Франция, Канада",Доминик Сена,"детектив, триллер",Белая мгла,2009
США,Джон Грей,драма,Белые ирландские пьяницы,2010
США,Марк Форстер,"военный фильм, драматический фильм, экранизация книги",Белая птица: Новое чудо,30 июля 2023 1 25 октября 2023 1 4 января 2024 1 18 января 2024 1 25 января 2024 1 2 февраля 2024 1 8 февраля 2024 1 15 марта 2024 1 20 марта 2024 1 4 апреля 2024 1 11 апреля 2024 2 1 3 октября 2024 1 4 октября 2024 1 17 октября 2024 1 24 октября 2024 1 14 ноября 2024 1 21 ноября 2024 1 5 декабря 2024 1 6 декабря 2024 1
США,Аксель Браун,"порнопародия, порнофильм, сказка",Белоснежка XXX: пародия Акселя Брауна,2014
Великобритания,Линдсей Андерсон,драма,Белый автобус,1967
"Беларусь, Россия",Леонид Белозорович,драматический фильм,Белые одежды,1 2 3 4
США,Джей Ли Томпсон,"вестерн, приключения",Белый бизон,30 марта 1977 1 6 мая 1977 1 12 мая 1977 1 8 августа 1977 1 24 августа 1977 1 29 сентября 1977 1 25 октября 1977 1 16 ноября 1977 1 15 декабря 1977 1 12 января 1978 1 10 марта 1978 1 28 апреля 1978 1 5 мая 1978 1 24 июня 1978 1 2 февраля 1979 1 27 марта 1979 1 1979 1 13 мая 1980 1
СССР,Александр Згуриди,киноповесть,Белый Клык,1946
"Норвегия, Дания, Швеция",Храбн Гюднлёйгссон,"драма, исторический фильм",Белый викинг,1991
Королевство Италия,Роберто Росселлини,"военная, драма",Белый корабль,1941
США,Ян Деманж,"криминальный фильм, драма",Белый парень Рик,2018
Польша,Леонард Бучковский,"драма, мелодрама",Белый негр,1939
США,Дасти Нельсон,боевик,Белый призрак,1987
Россия,Алиса Хазанова,"драма, детектив, психологический триллер",Белый список,2023
СССР,"Марианна Рошаль, Владимир Шредель","драма, киноповесть",Белый пудель,1955
Италия,Федерико Феллини,комедия,Белый Шейх,1952
США,Пол Вайц,"драма, мелодрама, триллер",Бельканто,2018
"Великобритания, Германия, Канада, 1",Стив Шилл,"исторический телесериал, телесериал-экранизация романа",Бен-Гур,31 марта 2013
Италия,Аугусто Дженина,"Пропагандистский, военный фильм",Бенгази,1942
Италия,Моника Стамбрини,драма,Бензин,2001
Россия,Игорь Зайцев,комедия,Бендер: Последняя афера,5 ноября 2021
США,Анатоль Литвак,Фильм нуар,Берег в тумане,1941
США,Арчи Майо,комедия,Берегись женатых мужчин,1928
США,Джеремайя С. Чечик,"романтическая комедия, драматический фильм",Бенни и Джун,1993
СССР,Николай Винграновский,драма,Берег надежды,1967
Республика Корея,Ким Ки Дук,драма,Береговая охрана,2002
США,Карен Артур,триллер,"Берегись, дама!",1987
Россия,Сарик Андреасян,комедия,Беременный,2011
Германия,"Леандер Хаусман, 2, 3",трагикомедия,Берлинский блюз,2 октября 2003 1
Германия,Каспар Хайдельбах,драма,Берлин 36,2009
США,Ричард Мичелс,"триллер, драма",Берлинский тоннель номер 21,1981
США,Говард Брукнер,"документальный фильм, 1",Берроуз,1983
США,"Marc Klasfeld, 1",комедийный фильм,Беспредел в Лос-Анжелесе,"
25 апреля 2005 года (Tribeca Film Festival)"
Австралия,Фрэнк Хоусон,драма,Беспощадная охота,1991
ФРГ,Вернер Херцог,сатира,Беспрецедентная защита крепости Дойчкройц,1966
Канада,Дэвид Кроненберг,"спортивная, драма",Беспутная компания,1979
Великобритания,Филип Ридли,"триллер, драма",Бессердечный,2009
Россия,Андрес Пуустусмаа,"мелодрама, экранизация",Бесприданница,2011
"Франция, Италия, Турция",Ален Роб-Грийе,драма,Бессмертная,1963
СССР,"Захар Аграненко, Эдуард Тиссэ",военный фильм,Бессмертный гарнизон,1956
США,Брайан Грант,"криминальный фильм, драма, Боевик, триллер",Бессмертные,1995
США,Кристофер Нолан,"детектив, триллер",Бессонница,2002
Норвегия,Эрик Шёлдбьерг,"драма, триллер",Бессонница,1997
Япония,Кадзуо Икэхиро,тямбара,Бесстрашный мститель,1972
"Австралия, ЮАР",Стив Джейкобс,драма,Бесчестье,2008
"Гонконг, Швейцария, Китай",Уинг Кит Хунг,драма,Бесшумный перезвон ветра,2009
США,Джон Флинн,триллер,Бестселлер,1987
"США, Канада",Лина Росслер,комедийная драма,Бестселлер,2021
Франция,Анджей Вайда,драма,Бесы,1988
США,Эми Хекерлинг,"комедия, любовная история",Бестолковые,1995
"Италия, Франция",Марко Туллио Джордана,"историческая, драма",Бешеная кровь,2008
США,Марк Гриффитс,"комедия, семейный",Бетховен 5,2003
США,Брайан Левант,"комедия, семейный",Бетховен,1992
США,"Дэвид М. Эванс, 1, 2, […]",комедийный фильм,Бетховен 3,2000
Россия,Дмитрий Дьяченко,триллер,Бешенство,2023
Канада,Дэвид Кроненберг,фильм ужасов,Бешенство,1977
США,Джон МакНотон,"мелодрама, комедия",Бешеный пёс и Глория,1993
СССР,Евгений Матвеев,комедия,Бешеные деньги,1981
Франция,Жорж Мельес,Документальное кино,Бивак,1896
США,Хуан Фельдман,"драматический фильм, 1",Библиотекарь,21 августа 2015
США,Джонатан Фрейкс,"боевик, приключенческий фильм, фэнтези",Библиотекарь 2: Возвращение в Копи Царя Соломона,2006
Франция,Алехандро Ходоровски,драматический фильм,Бивень,1980
США,Тара Мур,приключенческий фильм,Бивни,1988
США,Квентин Тарантино,"криминальный триллер, гангстерский фильм, чёрная комедия",Бешеные псы,1992
Босния и Герцеговина,Пьер Жалица,трагикомедия,Бикфордов шнур,2003
США,Джил Янгер,романтическая комедия,Бизнес ради любви,2010
"Россия, США",Гор Киракосян,"комедия, приключения",Билет на Vegas,2013
Испания,Бигас Луна,драма,Бильбао,1978
"Великобритания, Франция",Стивен Долдри,драма,Билли Эллиот,2000
СССР,Феликс Соболев,"короткометражный, научно-популярный фильм",Биосфера! Время осознания,1974
США,Кен Эннакин,военный фильм,Битва в Арденнах,1965
США,Эндрю Зугерман,комедия,Битва в штаб-квартире,1985
США,"Айзек Флорентайн, 2, 1","боевик, 1, научно-фантастический фильм",Битва драконов,1999
США,Пол Уэндкос,"военный, боевик, драма, мелодрама",Битва за Коралловое море,1959
США,"Джимми Мураками, Роджер Корман",фантастика,Битва за пределами звёзд,1980
Южная Корея,Ким Ханмин,"история, военный, биография",Битва за Мёнрян,2014
"Великобритания, США",Теренс Дэвис,"фильм-биография, драма",Благословение,2021
США,Эндрю Ренци,драма,Благодетель,2015
США,Оуэн Эгертон,"ужасы, комедия",Бладфест,2018
США,Клинт Иствуд,вестерн,Бледный всадник,1985
США,Рич Уилкс,комедия,Блеск славы,1995
Франция,Ив Робер,комедия,Близнец,1984
США,Джон Ирвин,боевик,Ближайший родственник,1989
"Канада, США",Питер Хайамс,"боевик, триллер",Близкие враги,2013
США,,"немое кино, комедия",Близорукий школьный учитель,1
Россия,"Дмитрий Ефремов, Сергей Угольников","Уроуд-муви, Фильм ужасов",Блогер,2012
США,Мишель Маннинг,детектив,Блу-сити,1986
Россия,Андрей Зайцев,военно-историческая драма,Блокадный дневник,2020
США,"Ларс Е. Джейкобсон, Амардип Калека","фильм ужасов, триллер, криминальный фильм",Блюз малышки,2008
США,Спайк Ли,драма,Блюз о лучшей жизни,1990
США,Дэвид Гойер,"супергероика, боевик, технофэнтези, фильм о вампирах",Блэйд: Троица,2004
СССР,Аугуст Балтрушайтис,"детский фильм,, фильм о животных",Боба и слон,1972
США,Стивен Норрингтон,"супергероика, боевик, ужасы, триллер, драма",Блэйд,1998
Индия,Раджив Мехра,"боевик, криминальный фильм",Бог знает,1995
Гонконг,Вонг Цзин,комедия,Бог игроков III: Назад в Шанхай,1991
Гонконг,Вонг Цзин,комедия,Бог азартных игроков 2,1990
США,"Роджер Росс Уильямс, 2","документальный фильм, 2, ЛГБТ-фильм",Бог любит Уганду,18 января 2013 1
Великобритания,Альфред Хичкок,"комедия, мелодрама",Богатые и странные,1931
США,Джордж Кьюкор,драма,Богатые и знаменитые,1981
"Германия, Франция, Грузия",Дито Цинцадзе,комедия,Бог счастья,2015
США,Берт Кеннеди,вестерн,Боевой фургон/Военный фургон,1967
"Гонконг, Китай",Лю Цзялян,боевик,Боевые искусства Шаолиня,1986
СССР,Игорь Савченко,"исторический, драма",Богдан Хмельницкий,1941
США,Виктор Шёстрём,мелодрама,Божественная женщина,1928
Гонконг,Лю Цзялян,"боевик, драма",Боец с шестом,1984
США,Стив Йеджер,документальный,Божественный мусор,1998
Чехословакия,"Мирослав Цикан, 2","драматический фильм, 1",Бой закончится завтра,1951
США,Уоррен Стивенс,боевик,Бой драконов,1990
США,Фрэнк Ллойд,"историческая, драма, мелодрама, фильм-биография",Божественная леди,1929
"Италия, Австрия, Великобритания",Лиана Марабини,"драма, биография",Божий садовник,2009
СССР,Анатолий Тютюнник,Историко-революционный фильм,Бой на перекрёстке,1982
СССР,Валентин Попов,"спортивный фильм, драматический фильм",Бой с тенью,1972
США,Роберт Хьюз,"триллер, фильм ужасов",Бойня в долине памяти,1988
США,"Луи Морно, 1",боевик,Бойцы,1995
"Франция, Италия","Марио Моничелли, Федерико Феллини, Лукино Висконти, Витторио де Сика",комедия,Боккаччо-70,1962
Великобритания,Ричард Кёртис,"комедия, драма, научная фантастика",Бойфренд из будущего,2013
США,"Уильям Диксон, Уильям Хейз","немое кино, фильм о боксе",Боксирующие мужчины,1891
США,Джим Джармуш,"драма, комедии","Более странно, чем в раю",1984
США,Уэс Крэйвен,супергеройский фильм,Болотная тварь,1982
США,Джон Дерек,мелодрама,Болеро,1984
Российская империя,Вячеслав Висковский,"мистическая, фантастика",Болотный цветок,1917
США,Джим Гиллеспи,слэшер,Яд,2005
Италия,Ферзан Озпетек,"драматический фильм, 1",Боль чужих сердец,2005
Испания,Педро Альмодовар,драма,Боль и слава,2019
США,Артур Хиллер,"сатира, комедийная драма, чёрная комедия, детектив",Больница,1971
США,Марк Майлод,"драма, криминал, комедия",Большая белая обуза,2005
США,Рон Ховард,"Комедия, криминальный",Большая автокража,1977
Италия,Марио Моничелли,"комедия, военная драма",Большая война,1959
"Франция, Италия",Марко Феррери,чёрная комедия,Большая жратва,1973
СССР,Леонид Луков,Драма,Большая жизнь. Вторая серия,1946
"США, Великобритания, Франция",Кевин Макдональд,"драма, детектив, триллер",Большая игра / Игры власти,2009
США,Джошуа Логан,"романтическая комедия, сатира",Большая история,1960
"Франция, 1, Швейцария, 1","Филипп Гаррель, 1","драматический фильм, 1",Большая колесница,2023 2023 13 сентября 2023 1
США,Сэмюэл Фуллер,"драма, военный",Большая красная единица,1980
Россия,Виталий Москаленко,"комедия, приключенческий фильм",Большая ржака,2012
США,Фрэнк Макдональд,Фильм нуар,Большая наводка,1955
СССР,Иосиф Хейфиц,драматический фильм,Большая семья,1954
США,Джон Суонбек,комедийная драма,Большая сделка,1999
США,Ховард Франклин,комедия,Больше чем жизнь,1996
США,Гордон Паркс,"боевик, криминал, блэксплотейшн",Большая удача Шафта,1972
США,Кристофер Бельман,Документальный фильм,"Больше, чем игра",2008
США,"Дэниэл Фаррандс, Эндрю Каш",Документальное кино,Больше никогда не спи: Наследие улицы Вязов,2010
США,Джеймс Фроли,комедия,Большой автобус,1976
США,Реджинальд Хадлин,комедия,Большой белый обман,1996
США,Джон Уайтселл,комедия,Большие мамочки: Сын как отец,2011
США,Джозеф Х. Льюис,"криминальный фильм, нуар, триллер, драма",Большой ансамбль,1955
США,Джим Абрахамс,комедия,Большой бизнес,1988
США,Джоэн Миклин Силвер,комедия,Большие девочки не плачут… они дают сдачи,1992
Россия,Алексей Федорченко,"трагикомедия, исторический, мокьюментари",Большие змеи Улли-Кале,2022
США,Бен Фальконе,комедийный,Большой босс,2016
США,Тони Кранц,"боевик, триллер, детектив",Большой выстрел,2011
США,"Дэвид Френкель, 1",Комедия,Большой год,2011
Великобритания,Ник Рид,документальный фильм,Большой Вавилон,2015
США,Уильям С. Томас,Фильм нуар,Большой город после заката,1947
США,Джим МакБрайд,"нео-нуарный, триллер",Большой кайф,1986
Россия,"Анатолий Галиев, Хасан Биджиев",Мелодрама,"Большой капкан, или Соло для кошки при полной луне",1992
США,Кинг Видор,"драматический фильм, 1, немое кино, военный фильм, 1, романтический фильм, 1",Большой парад,5 ноября 1925 1
США,Деннис Дуган,"комедия, драма",Большой папа,17 июня 1999 1 4 ноября 1999 2
СССР,Алоиз Бренч,"музыкальная, комедия",Большой янтарь,1971
Италия,Стено,комедия,Бонни и Клайд по-итальянски,1982
США,Ави Нешер,триллер,Бомба замедленного действия / Успеть вспомнить,1992
Индия,Мани Ратнам,"драматический фильм, политический фильм, романтический фильм",Бомбей,1995
США,Дон Сигел,"Фильм нуар, Мелодрама, Комедия, Триллер",Большой обман,1949
"Россия, США",Дмитрий Бобров,"документальный, спортивный",Бонни: русский рекорд на соляном озере,2017
"Бельгия, Ирландия",Тодд Комарницки,,Бонхеффер,
Дания,Оле Эге,"комедийный фильм, порнофильм, 1",Бордель,1972
Греция,Никос Кундурос,историческая драма,Бордель,1985
США,Джейсон Уолинер,комедия,Борат 2,2020
СССР,Вера Строева,музыкальная драма,Борис Годунов,1954
РСФСР,Борис Светлов,агитфильм,Борцы за светлое царство III Интернационала,1919
Нидерланды,Алёна ван дер Хорст,документальное кино,Борис Рыжий / Boris Ryzhy,2008
"Канада, Франция",Жан-Жак Анно,"драма, приключения",Борьба за огонь,1981
СССР,Леонид Кощеников,,Босоножка и её друзья,1975
"США, Великобритания",Стивен Мерчант,"драма, комедия, биография, спорт",Борьба с моей семьёй,2019
Канада,"Maude Plante-Husaruk, Maxime Lacoste-Lebuis",документальный фильм,Ботаник,2016
США,Байрон Хэскин,"Фильм нуар, Гангстерский фильм",Босс,1956
Великобритания,Шейн Медоуз,"драма, триллер",Ботинки мертвеца,2004
Чехословакия,Карел Стеклы,Комедия,Бравый солдат Швейк,1957
Польша,Станислав Барея,комедия,Брак по расчёту,1966
"США, Италия",Роберт Мореско,"биографический фильм, драматический фильм",Братья Мазерати,
СССР,Бахтиёр Худойназаров,приключение,Братан,1991
"США, Франция",Жак Одиар,вестерн,Братья Систерс,2018
Россия,Михаил Угаров,драма,Братья Ч,2014
"Австралия, Великобритания",Ян Сарди,"комедия, драма, мелодрама",Братья-соперники,2004
Гонконг,Чжан Чэ,"боевик, драма",Братья по крови,1973
США,Джон Кромвелл,"драма, мелодрама",Бремя страстей человеческих,1934
США,Джефф Абугов,"комедия, фантастика, Псевдодокументальный фильм",Брачные игры земных обитателей,1999
Россия,Алексей Беляков,"короткометражный фильм, исторический фильм, военный фильм, драма",Бритва,2014
Великобритания,Джесси В. Джонсон,"боевик, криминал",Британский психопат,2019
США,Вуди Аллен,комедия,Бродвей Дэнни Роуз,1984
США,Гарри Бомонт,"мелодрама, мюзикл",Бродвейская мелодия,1929
США,Майкл Фейфер,триллер,Бродяга Генри Ли Лукас.,2009
США,Джек Фиск,Драма,Бродяга,1981
СССР,Иосиф Хейфиц,драма,Бродячий автобус,1989
США,Роберт де Ниро,"драма, гангстерский фильм",Бронксская повесть,1993
США,Лоран Малаке,документальный фильм,Брони: неожиданно взрослые поклонники My Little Pony,2012
СССР,Серик Райбаев,фантастика,"Бросок, или Всё началось в субботу",1976
США,Вин Дизель,драматический фильм,Бродяги,1997
СССР,Станислав Говорухин,"военный фильм, драма, экранизация",Брызги шампанского,1989
"США, Великобритания",Ларри Чарльз,комедия,Брӱно,2009
"Ирландия, Канада, Великобритания",Джон Кроули,мелодрама,Бруклин,2015
США,Джеффри С. Широ,ужасы,Бугимен,1982
"Россия, Украина, Беларусь, Румыния, США, Израиль",Константин Фам,"Драма, Исторический",Брут,2016
США,Том Шедьяк,"комедия, драма, фэнтези",Брюс Всемогущий,2003
США,Гари Джонс,ужасы,Бугимэн 3,2008
Польша,Станислав Барея,комедия,Брюнет вечерней порой,1976
СССР,Николай Малецкий,драма,"Будем ждать, возвращайся",3
США,Стивен Спилберг,,Будущий фильм Стивена Спилберга,2026
"Испания, Колумбия",Андрес Баис,триллер,Бункер,2011
СССР,Мелис Абзалов,мелодрама,Бунт невесток,1985
Россия,Пётр Буслов,драма,Бумер. Фильм второй,2006
США,"Джейк Шрейер, 3, 4, […]",комедийная драма,Бумажные города,2015
Россия,Пётр Буслов,"боевик, криминальная драма, роуд-муви",Бумер,2003
США,Николас Рэй,драма,Бунтарь без причины,1955
Флаг Германии,Роберт Сиодмак,нуар,Бури страсти,1931
США,Тим Хилл,"комедия, семейный, фэнтези",Бунт ушастых,2011
"Италия, ФРГ",Виктор Туржанский,"приключенческий фильм, 1, 2, романтический фильм, драматический фильм",Бурлаки на Волге,1959
Россия,Игорь Волошин,"мюзикл, фэнтези",Буратино,2026
Чехословакия,Вацлав Ворличек,"комедия, экранизация",Бурлящее вино,1976
США,Джордж Шерман,Фильм нуар,Бурный прилив,1951
СССР,Анатолий Буковский,социальная драма,Бурьян,1966
США,"
Джордж Мелфорд",драма,Бурская война,1914
Япония,"Сацуо Ямамото, Киёси Кусуда",фильм-драма,Буря в горах Хаконэ,1952
"США, Канада",Крейг Баксли,"фильм ужасов, триллер, драма",Буря столетия,14 февраля 1999
СССР,Камиль Ярматов,Приключенческий фильм,Буря над Азией,1964
Азербайджан,Ильгар Наджаф,драма,Бута,2011
США,Джордж Рой Хилл,"бадди-муви, вестерн, биографический фильм",Бутч Кэссиди и Сандэнс Кид,1969
США,Майкл Д. Мур,"вестерн, музыкальный фильм",Быстрейшая гитара из всех живущих,1967
СССР,Равиль Батыров,"военная драма, детектив",В 26-го не стрелять,1966
"США, Великобритания",Кристофер Нолан,"неонуар, боевик, супергеройский фильм, приключения",Бэтмен: Начало,2005
США,Делмер Дэйвс,вестерн,В 3:10 на Юму,1957
США,Джоэл Шумахер,супергеройский фильм,Бэтмен и Робин,1997
"Ирландия, Великобритания",Джим Шеридан,драма,В Америке,2002
Гонконг,Альфред Чён,"криминальный фильм, драма",В бегах,1988
 США ,"Адам Бимер, Ивэн Бимер","Боевик, комедия",В безопасности,2013
США,Том Манкевич,"комедия, фэнтези",В бреду,1991
"Канада, США","Патриcия Розема, 3","драматический фильм, экранизация романа, апокалиптический фильм",В изоляции,2015
США,Джулия Стайлз,короткометражный фильм,В бреду,2007
США,Джон Ирмэн,драма,В Каролине не любят ворошить прошлое,1991
США,Роберт Дауни-старший,кинокомедия,В жопу академию,1980
Германия,Джулио Риччарелли,драма,В лабиринте молчания,2014
СССР,Д. Антонов,документальный,В космосе «Восход»,1965
США,Сэм Рейми,"фильм ужасов, короткометражный фильм",В лесах,1978
Франция,Сафи Неббу,"драма, приключения",В лесах Сибири,2016
США,Джозеф Грэхем,драма,В ловушке (Связанный),2010
Дания,Лассе Спанг Ольсен,"боевик, комедия",В Китае едят собак,1999
США,Джон Уэллс,драма,В компании мужчин,2010
"Канада, США",Нил Лабут,"Драма, чёрная комедия",В компании мужчин,1997
