country,director,genre,title,year
США,"Кларенс Браун, 1, 2",драма,Анна Кристи,1930
США,Киони Уоксмен,биография,Анна Николь,2007
Россия,Сергей Соловьёв,драма,Анна Каренина,2009
СССР,Исидор Анненский,драма,Анна на шее,1954
Россия,Карен Шахназаров,драма,«Анна Каренина. История Вронского»,2017
"Великобритания, США",Джо Райт,"историческая, романтическая драма",Анна Каренина,2012
США,Саймон Лэнгтон,мелодрама,Анна Каренина,26 марта 1985
Российская империя,Владимир Гардин,драма,Анна Каренина,1914
"США, Россия, Великобритания",Бернард Роуз,"драма, любовная история",Анна Каренина,1997
Великобритания,Жюльен Дювивье,"драма, мелодрама",Анна Каренина,1948
США,Кларенс Браун,мелодрама,Анна Каренина,1935
Российская империя,Морис Метр,"драматический фильм, немое кино, экранизация романа",Анна Каренина,1911
СССР,Александр Зархи,драма,«Анна Каренина»,1967
"Италия, Франция, Германия, Испания",Кристиан Дюгей,драма,Анна Каренина,2013
СССР,Маргарита Пилихина,фильм-балет,Анна Каренина,1974
СССР,Расим Исмайлов,детский фильм,"Асиф, Васиф, Агасиф",1983
"Япония, Франция, 1",Рюсукэ Хамагути,"драматический фильм, романтический фильм",Асако 1 и 2,1 сентября 2018
США,Тиллер Расселл,триллер,Асоциальная сеть,2020
СССР,Сергей Соловьёв,"драма, 1",Асса,1987
"Россия, Израиль, Литва",Роман Качанов,Драма,Арье,2004
"Франция, ФРГ",Жерар Ури,комедия,Ас из асов,1982
"СССР, Азербайджанская ССР",Тофик Таги-Заде,музыкальная комедия,Аршин мал алан,1965
Индия,Сукумар,"боевик, романтическая комедия",Арья 2,2009
США,Сетраг Вартян,"мелодрама, музыкальный фильм",Аршин мал алан,1937
"СССР, Азербайджанская ССР","Рза Тахмасиб, Николай Лещенко",Музыкальная комедия,Аршин мал алан,1945
Российская империя,Борис Светлов,музыкальная комедия,Аршин мал алан,1916
США,Байрон Хаскин,фантастика,Архитекторы страха,1963
"Германия, Франция",Виктор Косаковский,документальный фильм,Архитектон,2024
США,Мэтт Таубер,Драма,Архитектор,2006
Великобритания,Джоанна Хогг,"драматический фильм, 1, 2",Архипелаг,2010
Россия,Максим Якубсон,документальный,Архитектура блокады,2020
США,Данте Ариола,"комедийная драма, комедийный фильм, 5","Артур Ньюман, профессионал гольфа",10 сентября 2012 3 26 сентября 2013 4
Россия,"Алексей Тельнов, Михаил Малахов-младший",исторический,Архипелаг,2021
США,Саймон Селлан Джоунс,приключения,"Артур, ты король",2024
СССР,Марина Голдовская,документальный фильм,Архангельский мужик,1986
США,Джейсон Уайнер,"комедия, мелодрама",Артур. Идеальный миллионер,2011
Великобритания,Джон Джонс,триллер,Архангел,2005
Канада,Гай Мэддин,"Мелодрама, Авангардный фильм, Сюрреалистический фильм, Артхаус",Архангел,1990
"Франция, США",Люк Бессон,"Мультфильм, Фэнтези, Приключения, Семейный, Кинокомедия",Артур и минипуты,2006
Франция,Люк Бессон,"мультфильм, фэнтези, приключение, семейный",Артур и война двух миров,2010
"Франция, США",Люк Бессон,"мультфильм, фэнтези, приключение, семейный",Артур и месть Урдалака,2009
"Камбоджа, Франция","Ритхи Пань, 2, 3",документальная драма,Артисты сгоревшего театра,15 мая 2005 1
Россия,Станислав Говорухин,"мелодрама, комедия",Артистка,2007
США,Бад Йоркин,комедия,Артур 2: На мели,1988
СССР,Григорий Липшиц,комедия,Артист из Кохановки,1961
СССР,Леонид Квинихидзе,"лирическая, комедия",«Артистка из Грибова»,1988
США,Стив Гордон,"комедия, мелодрама",Артур,1981
Великобритания,Пэдди Бретнэк,"Ужасы, триллер",Багровая мгла,2008
Россия,Андрей Богатырёв,драма,БАгИ,2011
США,Джордж Шерман,"комедийный фильм, фэнтезийный фильм",Багдадский чародей,1960
Иран,Джафар Панахи,драма,Багровое золото,2003
США,Пьер Морель,"боевик, триллер",Багровая мята,2018
СССР,"Гиули Чохонелидзе, Караман Мгеладзе","историко, биографический фильм",Багратион,1985
Великобритания,"Людвиг Бергер, Майкл Пауэлл, Тим Уэлан","приключенческий фильм, семейный фильм, сказка",Багдадский вор,1940 25 декабря 1940 1
США,Рауль Уолш,"сказка, фэнтези",Багдадский вор,1924
Великобритания,Донован Винтер,триллер,Багажник,1961
СССР,"Ольга Преображенская, Иван Правов",драма,Бабы рязанские,1927
СССР,Алексей Салтыков,"Военная, драма",Бабье царство,1967
Великобритания,Джордж Альберт Смит,короткометражка,Бабушкина лупа,1900
СССР,Владимир Баталов,драма,Бабы,1940
США,Питер Рейдер,"ужасы, триллер",Бабушкин дом,1988
СССР,Адольф Бергункер,"киноповесть, семейный фильм, драма",Бабушкин внук,1979
СССР,"Валерий Харченко, Юрий Клебанов","комедия, музыкальный фильм",Бабушки надвое сказали…,31 декабря 1979
СССР,Нана Мчедлидзе,драма,Бабушки и внучата,1969
СССР,Мелис Абзалов,драма,Бабушка-генерал,1982
Россия,Марюс Вайсберг,комедия,Бабушка лёгкого поведения 2. Престарелые мстители,2019
Россия,Марюс Вайсберг,комедия,Бабушка лёгкого поведения,2017
Чехословакия,Антонин Москалик,драма,Бабушка,1971
